country,iso3code,region,incomegroup,hdi,"Smoking Prevalence Change (2005 - 2015, Age 15+) ",Prevalence Change: Source,Number of Policies at Highest Level,Average score for POWER,Symbol - prevalence decline in the highest-performing countries
Bolivia,BOL,PAHO,MIDDLE,0.674000024795532,-9.1,Gravely et al (2017),1,3.5,
Brazil,BRA,PAHO,MIDDLE,0.754000008106232,-5,Gravely et al (2017),4,4.6,
Barbados,BRB,PAHO,HIGH,0.795000016689301,-0.5,Gravely et al (2017),1,3.2,
Brunei Dar.,BRN,WPRO,HIGH,0.865000009536743,-0.4,Gravely et al (2017),3,4.375,
Bhutan,BTN,SEARO,MIDDLE,0.60699999332428,0.391765276021018,IHME Data,0,3.5,
Botswana,BWA,AFRO,MIDDLE,0.698000013828278,0.448666115653529,IHME Data,0,2.8,
Central African Rep.,CAF,AFRO,LOW,0.351999998092651,0.548226927806795,IHME Data,0,1.9,
Canada,CAN,PAHO,HIGH,0.920000016689301,-7.7,Gravely et al (2017),3,4.3,
Switz.,CHE,EURO,HIGH,0.939000010490418,-4.5,Gravely et al (2017),1,3.3,
Chile,CHL,PAHO,HIGH,0.847000002861023,-6.6,Gravely et al (2017),3,4.1,
China,CHN,WPRO,MIDDLE,0.737999975681305,-2.4,Gravely et al (2017),1,3.6,
Côte d'Ivoire,CIV,AFRO,MIDDLE,0.474000006914139,0.543812637181233,IHME Data,0,2.8,
Cameroon,CMR,AFRO,MIDDLE,0.51800000667572,11.7,Gravely et al (2017),1,3.5,
Dem. Rep. of Congo,COD,AFRO,LOW,0.435000002384186,0.192186403220661,IHME Data,0,2.9,
Congo,COG,AFRO,MIDDLE,0.592000007629395,13.5,Gravely et al (2017),1,3.7,
Cook Islands,COK,WPRO,,,n/a,n/a,0,3.6,
Colombia,COL,PAHO,MIDDLE,0.726999998092651,-3.7,Gravely et al (2017),3,4.3,
Comoros,COM,AFRO,LOW,0.497999995946884,-4.3,Gravely et al (2017),0,2.5,
Cape Verde,CPV,AFRO,MIDDLE,0.648000001907349,2.4,Gravely et al (2017),0,2.8,
Costa Rica,CRI,PAHO,MIDDLE,0.776000022888184,-4.3,Gravely et al (2017),3,4.4,
Cuba,CUB,PAHO,MIDDLE,0.774999976158142,-4,Gravely et al (2017),0,3,
Cyprus,CYP,EURO,HIGH,0.856000006198883,-1.41975817893112,IHME Data,1,4.1,
Czech Rep.,CZE,EURO,HIGH,0.878000020980835,-1.9,Gravely et al (2017),2,3.9,
Germany,DEU,EURO,HIGH,0.925999999046326,-3.4,Gravely et al (2017),1,3.7,
Djibouti,DJI,EMRO,MIDDLE,0.47299998998642,-0.251110797087598,IHME Data,2,3.6,
Dominica,DMA,PAHO,MIDDLE,0.726000010967255,-0.421120034105186,IHME Data,0,2.1,
Denmark,DNK,EURO,HIGH,0.925000011920929,-12.4,Gravely et al (2017),3,4,yes
Dominican Rep.,DOM,PAHO,MIDDLE,0.722000002861023,-1.7,Gravely et al (2017),0,2.8,
Algeria,DZA,AFRO,MIDDLE,0.745000004768372,-0.907781630720798,IHME Data,0,2.9,
Ecuador,ECU,PAHO,MIDDLE,0.739000022411346,-2.6,Gravely et al (2017),2,4.1,
Egypt,EGY,EMRO,MIDDLE,0.690999984741211,5.5,Gravely et al (2017),1,3.7,
Eritrea,ERI,AFRO,LOW,0.419999986886978,-0.141338873488575,IHME Data,1,3,
Spain,ESP,EURO,HIGH,0.88400000333786,-6.5,Gravely et al (2017),3,4.4,
Estonia,EST,EURO,HIGH,0.865000009536743,-5.1,Gravely et al (2017),4,4.2,
Ethiopia,ETH,AFRO,LOW,0.448000013828278,0,Gravely et al (2017),0,2.9,
Finland,FIN,EURO,HIGH,0.894999980926514,-5.9,Gravely et al (2017),2,3.6,
Fiji,FJI,WPRO,MIDDLE,0.736000001430511,-4.4,Gravely et al (2017),2,3.8,
France,FRA,EURO,HIGH,0.897000014781952,-3.5,Gravely et al (2017),2,3.4,
Fed. States of Micronesia,FSM,WPRO,MIDDLE,0.638000011444092,-0.322306757095248,IHME Data,0,2.8,
Gabon,GAB,AFRO,MIDDLE,0.697000026702881,0.415987039471954,IHME Data,0,3,
United Kingdom,GBR,EURO,HIGH,0.910000026226044,-6.5,Gravely et al (2017),5,4.8,
Georgia,GEO,EURO,MIDDLE,0.768999993801117,-2.5,Gravely et al (2017),0,3.3,
Ghana,GHA,AFRO,MIDDLE,0.578999996185303,1.2,Gravely et al (2017),1,3.2,
Guinea,GIN,AFRO,LOW,0.414000004529953,-0.160726474514648,IHME Data,1,3.1,
Gambia,GMB,AFRO,LOW,0.451999992132187,-0.892198292809844,IHME Data,0,2.9,
Guinea-Bissau,GNB,AFRO,LOW,0.42399999499321,0.15286313544576,IHME Data,0,2.2,
Equatorial Guinea,GNQ,AFRO,MIDDLE,0.592000007629395,0.00688858521772318,IHME Data,0,2.3,
Greece,GRC,EURO,HIGH,0.86599999666214,-6.3,Gravely et al (2017),3,4.3,
Grenada,GRD,PAHO,MIDDLE,0.754000008106232,-0.152291233864224,IHME Data,0,2.6,
Guatemala,GTM,PAHO,MIDDLE,0.639999985694885,0.688647785158929,IHME Data,1,3.2,
Guyana,GUY,PAHO,MIDDLE,0.638000011444092,-2.16840512393884,IHME Data,0,2.6,
Hong Kong,HKG,,HIGH,0.916999995708466,n/a,n/a,n/a,,
Honduras,HND,PAHO,MIDDLE,0.625,-8.3,Gravely et al (2017),2,4.1,
Croatia,HRV,EURO,HIGH,0.827000021934509,0.7,Gravely et al (2017),1,3.7,
Haiti,HTI,PAHO,LOW,0.493000000715256,0.9,Gravely et al (2017),0,2.2,
Hungary,HUN,EURO,HIGH,0.836000025272369,-7.2,Gravely et al (2017),1,3.9,
Indonesia,IDN,SEARO,MIDDLE,0.689000010490418,6.9,Gravely et al (2017),1,3.3,
India,IND,SEARO,MIDDLE,0.624000012874603,-5.3,Gravely et al (2017),2,4.1,
Ireland,IRL,EURO,HIGH,0.922999978065491,-6.2,Gravely et al (2017),5,4.8,
Isl. Rep. of Iran,IRN,EMRO,MIDDLE,0.773999989032745,-2.7,Gravely et al (2017),4,4.3,yes
Iraq,IRQ,EMRO,MIDDLE,0.648999989032745,-0.542389894421239,IHME Data,0,3.6,
Iceland,ISL,EURO,HIGH,0.921000003814697,-8.3,Gravely et al (2017),0,3.2,
Israel,ISR,EURO,HIGH,0.898999989032745,-2,Gravely et al (2017),2,3.5,
Italy,ITA,EURO,HIGH,0.887000024318695,-2.2,Gravely et al (2017),3,3.8,
Jamaica,JAM,PAHO,MIDDLE,0.730000019073486,-0.5,Gravely et al (2017),3,3.6,
Jordan,JOR,EMRO,MIDDLE,0.741999983787537,11.5,Gravely et al (2017),2,4,
Japan,JPN,WPRO,HIGH,0.902999997138977,-6.8,Gravely et al (2017),0,2.9,
Kazakhstan,KAZ,EURO,MIDDLE,0.794000029563904,-4.3,Gravely et al (2017),1,3.7,
Kenya,KEN,AFRO,MIDDLE,0.555000007152557,-1.8,Gravely et al (2017),2,3.9,
Kyrgyzstan,KGZ,EURO,MIDDLE,0.663999974727631,-0.2,Gravely et al (2017),1,3.4,
Cambodia,KHM,WPRO,MIDDLE,0.563000023365021,-1.7,Gravely et al (2017),3,3.8,
Kiribati,KIR,WPRO,MIDDLE,0.587999999523163,-8.9,Gravely et al (2017),2,3.9,
St. Kitts and Nevis,KNA,PAHO,HIGH,0.764999985694885,n/a,n/a,0,2.2,
Rep. Korea,KOR,WPRO,HIGH,0.901000022888184,-4.3,Gravely et al (2017),2,3.7,
Kuwait,KWT,EMRO,HIGH,0.800000011920929,-1.42269256864265,IHME Data,2,3.6,
LAO PDR,LAO,WPRO,MIDDLE,0.586000025272369,-8,Gravely et al (2017),2,3.2,
Lebanon,LBN,EMRO,MIDDLE,0.763000011444092,6.1,Gravely et al (2017),1,3.7,
Liberia,LBR,AFRO,LOW,0.426999986171722,2.8,Gravely et al (2017),0,2.1,
Libyan Arab Jamahiriya,LBY,EMRO,MIDDLE,0.716000020503998,0.249312790011858,IHME Data,2,3.6,
St. Lucia,LCA,PAHO,MIDDLE,0.735000014305115,-0.524253845870023,IHME Data,0,2.8,
Lichtenstein,LIE,,HIGH,0.912000000476837,n/a,n/a,n/a,,
Sri Lanka,LKA,SEARO,MIDDLE,0.765999972820282,-1,Gravely et al (2017),1,3.9,
Lesotho,LSO,AFRO,MIDDLE,0.497000008821487,7.6,Gravely et al (2017),0,2.1,
Lithuania,LTU,EURO,HIGH,0.84799998998642,-4.3,Gravely et al (2017),2,3.9,
Lux.  ,LUX,EURO,HIGH,0.898000001907349,-4,Gravely et al (2017),1,3.7,
Latvia,LVA,EURO,HIGH,0.829999983310699,-2.8,Gravely et al (2017),2,4.3,
Morocco,MAR,EMRO,MIDDLE,0.647000014781952,3.7,Gravely et al (2017),1,3.5,
Monaco,MCO,EURO,HIGH,,n/a,n/a,0,1.9,
Rep. Moldova,MDA,EURO,MIDDLE,0.699000000953674,1.5,Gravely et al (2017),3,4.2,
Madagascar,MDG,AFRO,LOW,0.512000024318695,-3.07817812017041,IHME Data,4,4.3,
Maldives,MDV,SEARO,MIDDLE,0.700999975204468,2.32711863745181,IHME Data,1,3.7,
Mexico,MEX,PAHO,MIDDLE,0.762000024318695,-6.6,Gravely et al (2017),2,3,
Marshall Islands,MHL,WPRO,MIDDLE,,-1.68971207027681,IHME Data,1,3.4,
FYR Macedonia,MKD,EURO,MIDDLE,0.748000025749207,0.697179822030982,IHME Data,1,4,
Mali,MLI,AFRO,LOW,0.44200000166893,6.1,Gravely et al (2017),0,3.1,
Malta,MLT,EURO,HIGH,0.856000006198883,-5.4,Gravely et al (2017),4,4.4,
Myanmar,MMR,SEARO,MIDDLE,0.555999994277954,-9.2,Gravely et al (2017),0,3.4,
Montenegro,MNE,EURO,MIDDLE,0.806999981403351,1.02494168866789,IHME Data,0,3.6,
Mongolia,MNG,WPRO,MIDDLE,0.735000014305115,-3.2,Gravely et al (2017),3,4.1,
Mozambique,MOZ,AFRO,LOW,0.418000012636185,-3.4,Gravely et al (2017),0,2.8,
Mauritania,MRT,AFRO,MIDDLE,0.513000011444092,7.2,Gravely et al (2017),0,2.1,
Mauritius,MUS,AFRO,MIDDLE,0.781000018119812,-2.8,Gravely et al (2017),3,4.4,
Malawi,MWI,AFRO,LOW,0.476000010967255,-2.9,Gravely et al (2017),0,1.7,
Malaysia,MYS,WPRO,MIDDLE,0.788999974727631,-4.6,Gravely et al (2017),2,3.8,
Namibia,NAM,AFRO,HIGH,0.639999985694885,2.3,Gravely et al (2017),2,3.9,
Niger,NER,AFRO,LOW,0.352999985218048,3.7,Gravely et al (2017),2,3.5,
Nigeria,NGA,AFRO,MIDDLE,0.52700001001358,1.9,Gravely et al (2017),1,3.1,
Nicaragua,NIC,PAHO,MIDDLE,0.644999980926514,-0.00610365664645585,IHME Data,0,3,
Niue,NIU,WPRO,,,-2.8,Gravely et al (2017),1,2.9,
Netherlands,NLD,EURO,HIGH,0.924000024795532,-6,Gravely et al (2017),3,4,
Norway,NOR,EURO,HIGH,0.949000000953674,-11.7,Gravely et al (2017),2,4.3,
Nepal,NPL,SEARO,LOW,0.558000028133392,-8.4,Gravely et al (2017),4,4.4,yes
Nauru,NRU,WPRO,HIGH,,-8,Gravely et al (2017),1,3.7,
New Zealand,NZL,WPRO,HIGH,0.915000021457672,-4.58600186193297,IHME Data,4,4.6,
Oman,OMN,EMRO,HIGH,0.796000003814697,5.9,Gravely et al (2017),0,3,
Pakistan,PAK,EMRO,MIDDLE,0.550000011920929,0.4,Gravely et al (2017),2,4.3,
Panama,PAN,PAHO,MIDDLE,0.787999987602234,-5,Gravely et al (2017),4,4.6,
Peru,PER,PAHO,MIDDLE,0.740000009536743,-1.54930051081337,IHME Data,2,3.6,
Philippines,PHL,WPRO,MIDDLE,0.681999981403351,-6.1,Gravely et al (2017),2,4,
Palau,PLW,WPRO,MIDDLE,0.787999987602234,n/a,n/a,0,3.5,
Papua New Guinea,PNG,WPRO,MIDDLE,0.515999972820282,-5.44698746867876,IHME Data,1,3.2,
Poland,POL,EURO,HIGH,0.855000019073486,-8.5,Gravely et al (2017),2,4.1,
DPR Korea,PRK,SEARO,LOW,,-1.9709852938868,IHME Data,1,2.9,
Portugal,PRT,EURO,HIGH,0.842999994754791,-2.5,Gravely et al (2017),2,4.2,
Paraguay,PRY,PAHO,MIDDLE,0.693000018596649,-7.2,Gravely et al (2017),0,2.9,
West Bank/Gaza Strip,PSE,,MIDDLE,,n/a,n/a,2,3.8,
Qatar,QAT,EMRO,HIGH,0.856000006198883,2.92097133148608,IHME Data,1,3.1,
Romania,ROU,EURO,MIDDLE,0.801999986171722,-6.2,Gravely et al (2017),2,4.3,
Russian Federation,RUS,EURO,MIDDLE,0.804000020027161,-2.6,Gravely et al (2017),3,4.5,
Rwanda,RWA,AFRO,LOW,0.497999995946884,-0.0941372102881255,IHME Data,0,2.6,
Saudi Arabia,SAU,EMRO,HIGH,0.847000002861023,3.7,Gravely et al (2017),0,3.7,
Sudan,SDN,EMRO,MIDDLE,0.490000009536743,0.0634504242812726,IHME Data,0,2.8,
Senegal,SEN,AFRO,LOW,0.493999987840652,1.9,Gravely et al (2017),3,4.1,
Singapore,SGP,WPRO,HIGH,0.925000011920929,-0.3,Gravely et al (2017),3,4.2,
Solomon Islands,SLB,WPRO,MIDDLE,0.514999985694885,-2.23623677548447,IHME Data,1,3.4,
Sierra Leone,SLE,AFRO,LOW,0.419999986886978,4.6,Gravely et al (2017),0,2.2,
El Salvador,SLV,PAHO,LOW,0.680000007152557,-0.359459640901906,IHME Data,4,4.6,
San Marino,SMR,EURO,HIGH,,n/a,n/a,0,3.4,
Somalia,SOM,EMRO,LOW,,-0.759017240485468,IHME Data,0,2,
Serbia,SRB,EURO,MIDDLE,0.776000022888184,-4.3,Gravely et al (2017),1,3.7,
S. Sudan,SSD,EMRO,LOW,0.418000012636185,-0.729381427722683,IHME Data,0,2,
Sao Tome and Principe,STP,AFRO,MIDDLE,0.574000000953674,0.417205818934986,IHME Data,0,2.7,
Suriname,SUR,PAHO,MIDDLE,0.725000023841858,2.78630930289527,IHME Data,4,4.6,
Slovakia,SVK,EURO,HIGH,0.84500002861023,-3.7,Gravely et al (2017),2,3.9,
Slovenia,SVN,EURO,HIGH,0.889999985694885,-4.2,Gravely et al (2017),1,3.3,
Sweden,SWE,EURO,HIGH,0.912999987602234,-7.9,Gravely et al (2017),1,3.5,
Swaziland,SWZ,AFRO,MIDDLE,0.541000008583069,0.8,Gravely et al (2017),0,3,
Seychelles,SYC,AFRO,HIGH,0.782000005245209,-2.1,Gravely et al (2017),3,4.4,
Syrian  Arab Rep.,SYR,EMRO,MIDDLE,0.53600001335144,n/a,n/a,0,3.6,
Chad,TCD,AFRO,LOW,0.395999997854233,-0.163514914249061,IHME Data,3,3.8,
Togo,TGO,AFRO,LOW,0.486999988555908,-0.0251477227747392,IHME Data,1,3,
Thailand,THA,SEARO,MIDDLE,0.740000009536743,-1.5,Gravely et al (2017),3,4.4,
Tajikistan,TJK,EURO,MIDDLE,0.626999974250794,-0.476949524101512,IHME Data,0,2.8,
Turkmenistan,TKM,EURO,MIDDLE,0.691999971866608,-0.428225599804405,IHME Data,2,3.8,
Timor-Leste,TLS,SEARO,MIDDLE,0.606000006198883,2.57330618752643,IHME Data,0,3.4,
Tonga,TON,WPRO,MIDDLE,0.721000015735626,-2.9,Gravely et al (2017),1,4,
Trinidad and Tobago,TTO,PAHO,HIGH,0.779999971389771,0.754466589061403,IHME Data,2,3.5,
Tunisia,TUN,EMRO,MIDDLE,0.725000023841858,-1.06537514433583,IHME Data,0,3.5,
Turkey,TUR,EURO,MIDDLE,0.767000019550324,-8.4,Gravely et al (2017),6,5,
Tuvalu,TUV,WPRO,MIDDLE,,n/a,n/a,1,3.7,
United Republic of Tanzania,TZA,AFRO,LOW,0.531000018119812,-3.2,Gravely et al (2017),0,2.9,
Uganda,UGA,AFRO,LOW,0.493000000715256,-3.5,Gravely et al (2017),2,4.2,yes
Ukraine,UKR,EURO,MIDDLE,0.742999970912933,-3.8,Gravely et al (2017),2,3.9,
Uruguay,URY,PAHO,HIGH,0.795000016689301,-11,Gravely et al (2017),3,4.3,yes
United States of America,USA,PAHO,HIGH,0.920000016689301,-5.3,Gravely et al (2017),2,3.3,
Uzbekistan,UZB,EURO,MIDDLE,0.700999975204468,-1.3,Gravely et al (2017),0,3.1,
St. Vincent and the Grenadines,VCT,PAHO,MIDDLE,0.722000002861023,-0.377567844615107,IHME Data,0,2.1,
Venezuela,VEN,PAHO,MIDDLE,0.767000019550324,n/a,n/a,2,3.7,
Viet Nam,VNM,WPRO,MIDDLE,0.683000028133392,-0.3,Gravely et al (2017),2,3.8,
Vanuatu,VUT,WPRO,MIDDLE,0.597000002861023,2.37373619234128,IHME Data,2,3.7,
Samoa,WSM,WPRO,MIDDLE,0.703999996185303,-9.3,Gravely et al (2017),1,3.8,
Yemen,YEM,EMRO,MIDDLE,0.48199999332428,-1.29821874452196,IHME Data,1,3.8,
S. Africa,ZAF,AFRO,MIDDLE,0.666000008583069,-2.8,Gravely et al (2017),0,3.2,
Zambia,ZMB,AFRO,MIDDLE,0.578999996185303,-1.6,Gravely et al (2017),0,2.8,
Zimbabwe,ZWE,AFRO,LOW,0.515999972820282,-0.6,Gravely et al (2017),0,2.8,
