Country,iso3code,Prevalence %,Key code,,Year,Age,Use,Survey title,Survey coverage
Côte d'Ivoire,CIV,10.9,2,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Croatia,HRV,15.1,3,,2016,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Cuba,CUB,15,3,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Cyprus,CYP,10.8,2,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Czech Rep.,CZE,,,,,,,,
Dem. Rep. of Congo,COD,29.5,5,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Kinshasa),Subnational
Denmark,DNK,18,3,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Djibouti,DJI,11.1,2,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Dominica,DMA,19.8,3,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Dominican Rep.,DOM,14,3,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
DPR Korea,PRK,,,,,,,,
Ecuador,ECU,,,,,,,,
Egypt,EGY,8.2,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
El Salvador,SLV,10.7,2,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Equatorial Guinea,GNQ,17.3,3,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Eritrea,ERI,4.6,1,,2006,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Estonia,EST,11,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Ethiopia,ETH,5.8,1,,2003,15--19,Current tobacco use,Global Youth Tobacco Survey (Addis Ababa),Subnational
Fed. States of Micronesia,FSM,35.7,5,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Fiji,FJI,6.5,1,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Finland,FIN,3,1,,2015,14--14,Current tobacco smoking,Adolescent Health and Lifestyle Survey,National
France,FRA,20,4,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
FYR Macedonia,MKD,9.8,2,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Gabon,GAB,8.8,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Gambia,GMB,36.6,5,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Banjul),Subnational
Georgia,GEO,9,2,,2015,Grade 10 (age around 16),Current cigarette smoking,The European School Survey Project on Alcohol and Other Drugs,National
Germany,DEU,10,2,,2015,12--17,Current tobacco smoking,The drug affinity of young people in the Federal Republic of Germany,National
Ghana,GHA,7.1,2,,2012,13--15,Current cigarette smoking,Global School-Based Student Health Survey,National
Greece,GRC,13,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Grenada,GRD,7.1,2,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Guatemala,GTM,14.4,3,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Guinea,GIN,20,4,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Guinea-Bissau,GNB,10.3,2,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Bissau),Subnational
Guyana,GUY,10.4,2,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Haiti,HTI,19.2,3,,2005,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Honduras,HND,6.4,1,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Hungary,HUN,25,4,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Iceland,ISL,3,1,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
India,IND,8.3,2,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Indonesia,IDN,2.4,1,,2015,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Iraq,IRQ,8.6,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Ireland,IRL,8,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Isl. Rep. of Iran,IRN,4.2,1,,2012,6--18,Ever use of smoked tobacco*,CASPIAN study,National
Israel,ISR,6,1,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Italy,ITA,26.3,5,,2014,13--15,Current cigarette smoking,Global Youth Tobacco Survey,National
Jamaica,JAM,24.6,4,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Japan,JPN,0.5,1,,2014,Junior-High (school),Current cigarette smoking,National survey on underage smoking and drinking,National
Jordan,JOR,13.8,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Kazakhstan,KAZ,2.3,1,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Kenya,KEN,6.7,1,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Kiribati,KIR,22.3,4,,2011,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Kuwait,KWT,8.3,2,,2016,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Kyrgyzstan,KGZ,4.5,1,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
LAO PDR,LAO,5.9,1,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Latvia,LVA,23.9,4,,2014,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Lebanon,LBN,5.1,1,,2013,13--15,Current cigarette smoking,Global Youth Tobacco Survey,National
Lesotho,LSO,21.7,4,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Liberia,LBR,11.8,2,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Monrovia),Subnational
Libyan Arab Jamahiriya,LBY,5,1,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Lithuania,LTU,25.1,4,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Lux.,LUX,18,3,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Madagascar,MDG,14.3,3,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Malawi,MWI,11.4,2,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Malaysia,MYS,3.9,1,,2016,13--15,Current tobacco use,Tobacco and E-Cigarette Survey Among Malaysian Adolescents (TECMA),National
Maldives,MDV,6.8,1,,2014,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Mali,MLI,8.8,2,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Malta,MLT,12,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Marshall Islands,MHL,21.6,4,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Mauritania,MRT,20.5,4,,2010,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Mauritius,MUS,10.3,2,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Mexico,MEX,17.7,3,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Monaco,MCO,47,5,,2011,15--16,Current cigarette smoking,The European School Survey Project on Alcohol and Other Drugs,National
Mongolia,MNG,8.3,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Montenegro,MNE,4.8,1,,2014,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Morocco,MAR,4.4,1,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Mozambique,MOZ,14.6,3,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Myanmar,MMR,3.7,1,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Namibia,NAM,29.9,5,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Nauru,NRU,27,5,,2011,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Nepal,NPL,4.8,1,,2015,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Netherlands,NLD,11,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
New Zealand,NZL,6.4,1,,2015,14--15,Current tobacco smoking,ASH Year 10 Survey,National
Nicaragua,NIC,14.5,3,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Niger,NER,5.6,1,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Nigeria,NGA,11.1,2,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Abuja),Subnational
Niue,NIU,,,,,,,,
Norway,NOR,3,1,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Oman,OMN,1.7,1,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Pakistan,PAK,6.6,1,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Palau,PLW,36.7,5,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Panama,PAN,10.2,2,,2012,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Papua New Guinea,PNG,40.3,5,,2007,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Paraguay,PRY,6.6,1,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Peru,PER,8.4,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Philippines,PHL,9.1,2,,2015,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Poland,POL,,,,,,,,
Portugal,PRT,17.4,3,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Qatar,QAT,8.8,2,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Rep. Korea,KOR,2.7,1,,2016,13--18,Current cigarette smoking,Korea Youth Risk Behavior Web-based Survey,National
Rep. Moldova,MDA,2,1,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Romania,ROU,17,3,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Russian Federation,RUS,13.3,2,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Rwanda,RWA,9.5,2,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
S. Africa,ZAF,19,3,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
S. Sudan,SSD,,,,,,,,
Samoa,WSM,30.2,5,,2011,13--15,Current tobacco use,Global School-Based Student Health Survey,National
San Marino,SMR,15.1,3,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Sao Tome and Principe,STP,22.7,4,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Saudi Arabia,SAU,9.1,2,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Senegal,SEN,6.2,1,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Serbia,SRB,17.4,3,,2013,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Seychelles,SYC,15.9,3,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Sierra Leone,SLE,24.1,4,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Western Area),Subnational
Singapore,SGP,3.5,1,,2012,13--16,Current tobacco smoking,Student Health Survey,National
Slovakia,SVK,,,,,,,,
Slovenia,SVN,11.8,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Solomon Islands,SLB,18.4,3,,2011,13--15,Current cigarette smoking,Global School-Based Student Health Survey,National
Somalia,SOM,12.3,2,,2007,13--15,Current tobacco use,Global Youth Tobacco Survey (Somaliland),Subnational
Spain,ESP,10,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Sri Lanka,LKA,0.7,1,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
St. Kitts and Nevis,KNA,7.8,2,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
St. Lucia,LCA,17.3,3,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
St. Vincent and the Grenadines,VCT,14.6,3,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Sudan,SDN,7.3,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Suriname,SUR,7.3,2,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Swaziland,SWZ,8.6,2,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Sweden,SWE,14,3,,2015,15--16,Current cigarette smoking,Alcohol and drug use among students (Skolelevers drogvanor),National
Switz.,CHE,9,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Syrian Arab Rep.,SYR,17.4,3,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Tajikistan,TJK,2.7,1,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Thailand,THA,8.1,2,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Timor-Leste,TLS,14.1,3,,2015,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Togo,TGO,4.3,1,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Tonga,TON,28,5,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Trinidad and Tobago,TTO,16.3,3,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Tunisia,TUN,3.8,1,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Turkey,TUR,12.8,2,,2012,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Turkmenistan,TKM,0.4,1,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Tuvalu,TUV,11.1,2,,2013,13--15,Current tobacco smoking,Global School-Based Student Health Survey,National
UAE,ARE,8.2,2,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Uganda,UGA,15.8,3,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Ukraine,UKR,13.2,2,,2015,16--16,Current cigarette smoking,The European School Survey Project on Alcohol and Other Drugs,National
United Kingdom,GBR,8,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children (England),Subnational
United Republic of Tanzania,TZA,8.8,2,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Arusha),Subnational
United States of America,USA,12.2,2,,2015,13--15,Current tobacco use,National Youth Tobacco Survey,National
Uruguay,URY,12.5,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Uzbekistan,UZB,13.9,2,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Vanuatu,VUT,8.2,2,,2011,13--15,Current cigarette smoking,Global School-Based Student Health Survey,National
Venezuela,VEN,7.2,2,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Viet Nam,VNM,1.3,1,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
West Bank/Gaza Strip,PSE,11,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey (Gaza Strip),Subnational
Yemen,YEM,9.9,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Zambia,ZMB,25.8,4,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Zimbabwe,ZWE,15.8,3,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
