Country,Map Code
United Kingdom,"Sales Permitted, Regulated"
Georgia,"Sales Permitted, Regulated"
Ghana,Unclear/ No Explicit Policy
Guinea,Unclear/ No Explicit Policy
Gambia,Comp Sales Ban
Guinea-Bissau,Unclear/ No Explicit Policy
Equatorial Guinea,Unclear/ No Explicit Policy
Greece,Comp Sales Ban
Grenada,Unclear/ No Explicit Policy
Guatemala,Unclear/ No Explicit Policy
Guyana,Unclear/ No Explicit Policy
Hong Kong,"Sales Permitted, Regulated"
Honduras,"Sales Permitted, Regulated"
Croatia,Market Authorization Required
Haiti,Unclear/ No Explicit Policy
Hungary,Market Authorization Required
Indonesia,Unclear/ No Explicit Policy
India,Unclear/ No Explicit Policy
Ireland,Market Authorization Required
Isl. Rep. of Iran,Unclear/ No Explicit Policy
Iraq,Unclear/ No Explicit Policy
Iceland,"Sales Permitted, Regulated"
Israel,"Sales Permitted, Regulated"
Italy,Market Authorization Required
Jamaica,Nicotine Ban
Jordan,Comp Sales Ban
Japan,Nicotine Ban
Kazakhstan,Unclear/ No Explicit Policy
Kenya,Unclear/ No Explicit Policy
Kyrgyzstan,Unclear/ No Explicit Policy
Cambodia,Comp Sales Ban
Kiribati,Unclear/ No Explicit Policy
St. Kitts and Nevis,Unclear/ No Explicit Policy
Rep. Korea,Unclear/ No Explicit Policy
Kuwait,Comp Sales Ban
LAO PDR,Unclear/ No Explicit Policy
Lebanon,Comp Sales Ban
Liberia,Unclear/ No Explicit Policy
Libyan Arab Jamahiriya,Unclear/ No Explicit Policy
St. Lucia,Unclear/ No Explicit Policy
Sri Lanka,Unclear/ No Explicit Policy
Lesotho,Unclear/ No Explicit Policy
Lithuania,Market Authorization Required
Lux. ,Unclear/ No Explicit Policy
Latvia,Market Authorization Required
Morocco,Unclear/ No Explicit Policy
Monaco,Unclear/ No Explicit Policy
Rep. Moldova,Unclear/ No Explicit Policy
Madagascar,Unclear/ No Explicit Policy
Maldives,Unclear/ No Explicit Policy
Mexico,Nicotine Ban
Marshall Islands,Unclear/ No Explicit Policy
FYR Macedonia,"Sales Permitted, Regulated"
Mali,Unclear/ No Explicit Policy
Malta,Market Authorization Required
Myanmar,Unclear/ No Explicit Policy
Montenegro,Unclear/ No Explicit Policy
Mongolia,Unclear/ No Explicit Policy
Mozambique,Unclear/ No Explicit Policy
Mauritania,Unclear/ No Explicit Policy
Mauritius,Comp Sales Ban
Malawi,Unclear/ No Explicit Policy
Malaysia,Nicotine Ban
Namibia,Unclear/ No Explicit Policy
Niger,Unclear/ No Explicit Policy
Nigeria,Unclear/ No Explicit Policy
Nicaragua,Comp Sales Ban
Niue,Unclear/ No Explicit Policy
Netherlands,"Sales Permitted, Regulated"
Norway,Market Authorization Required
Nepal,Comp Sales Ban
Nauru,Unclear/ No Explicit Policy
New Zealand,Nicotine Ban
Oman,Comp Sales Ban
Pakistan,"Sales Permitted, Regulated"
Panama,Comp Sales Ban
Peru,"Sales Permitted, Regulated"
Philippines,Market Authorization Required
Palau,Unclear/ No Explicit Policy
Papua New Guinea,Unclear/ No Explicit Policy
Poland,"Sales Permitted, Regulated"
DPR Korea,"Sales Permitted, Regulated"
Portugal,Market Authorization Required
Paraguay,Unclear/ No Explicit Policy
West Bank/Gaza Strip,Unclear/ No Explicit Policy
Qatar,Comp Sales Ban
Romania,Market Authorization Required
Russian Federation,Unclear/ No Explicit Policy
Rwanda,Unclear/ No Explicit Policy
Saudi Arabia,Comp Sales Ban
Sudan,Unclear/ No Explicit Policy
Senegal,Unclear/ No Explicit Policy
Singapore,Comp Sales Ban
Solomon Islands,Unclear/ No Explicit Policy
Sierra Leone,Unclear/ No Explicit Policy
El Salvador,Unclear/ No Explicit Policy
San Marino,Unclear/ No Explicit Policy
Somalia,Unclear/ No Explicit Policy
Serbia ,"Sales Permitted, Regulated"
S. Sudan,Unclear/ No Explicit Policy
Sao Tome and Principe,Unclear/ No Explicit Policy
Suriname,Comp Sales Ban
Slovakia,Market Authorization Required
Slovenia,Market Authorization Required
Sweden,Market Authorization Required
Swaziland,Unclear/ No Explicit Policy
Seychelles,Comp Sales Ban
Syrian Arab Rep. ,Unclear/ No Explicit Policy
Chad,Unclear/ No Explicit Policy
Togo,"Sales Permitted, Regulated"
Thailand,Comp Sales Ban
Tajikistan,Unclear/ No Explicit Policy
Turkmenistan,Comp Sales Ban
Timor-Leste,Unclear/ No Explicit Policy
Tonga,Unclear/ No Explicit Policy
Trinidad and Tobago,Unclear/ No Explicit Policy
Tunisia,Market Authorization Required
Turkey,Comp Sales Ban
Tuvalu,Unclear/ No Explicit Policy
United Republic of Tanzania,Unclear/ No Explicit Policy
Uganda,Comp Sales Ban
Ukraine,"Sales Permitted, Regulated"
Uruguay,Comp Sales Ban
United States of America,"Sales Permitted, Regulated"
Uzbekistan,Unclear/ No Explicit Policy
St. Vincent and the Grenadines,Unclear/ No Explicit Policy
Venezuela ,"Sales Permitted, Regulated"
Viet Nam,"Sales Permitted, Regulated"
Vanuatu,Unclear/ No Explicit Policy
Samoa,Unclear/ No Explicit Policy
Yemen,Unclear/ No Explicit Policy
S. Africa,Market Authorization Required
Zambia,Unclear/ No Explicit Policy
Zimbabwe,Unclear/ No Explicit Policy
Lichtenstein,Unclear/ No Explicit Policy
