Country,ISO3,Percent of DALYs due to tobacco
South Africa,ZAF,0.0451026766102
South Sudan,SSD,0.012347945
Spain,ESP,0.103531878
Sri Lanka,LKA,0.064660169
St. Kitts and Nevis,KNA,
St. Lucia,LCA,0.047968855
St. Vincent and the Grenadines,VCT,0.049796050176
Sudan,SDN,0.0296567374253
Suriname,SUR,0.067123769264
Swaziland,SWZ,0.0274597660418
Sweden,SWE,0.0775615596008
Switzerland,CHE,0.0881112614914
Syria,SYR,0.042290298104
Tajikistan,TJK,0.0254420317977
Tanzania,TZA,0.0250823399574
Thailand,THA,0.11361870866
Timor-Leste,TLS,0.0672706164212
Togo,TGO,0.0214395331583
Tonga,TON,0.105331610185
Trinidad and Tobago,TTO,0.0668899713478
Tunisia,TUN,0.101388368251
Turkey,TUR,0.100328251438
Turkmenistan,TKM,0.0620536470797
Tuvalu,TUV,
Uganda,UGA,0.0171015815223
Ukraine,UKR,0.129076208715
United Arab Emirates,ARE,0.0610588253967
United Kingdom,GBR,0.117238268034
United States of America,USA,0.116312247412
Uruguay,URY,0.113250998361
Uzbekistan,UZB,0.063639820228
Vanuatu,VUT,0.0840189913907
Venezuela,VEN,0.0580148804605
Viet Nam,VNM,0.130170975133
West Bank/Gaza Strip,PSE,0.0613500897708
Yemen,YEM,0.0412618960391
Zambia,ZMB,0.026912940614
Zimbabwe,ZWE,0.0298150691359
