Country,ISO3,Female-Prevalence,Female-Key Code,Female-Symbol,,Male-Prevalence,Male-Key Code,Male-Symbol,,Age,Year,Source,,,,,,,,
Cameroon,CMR,0.5,1,No,,9.1,1,No,,15+,2015,GTCR 2017,,,,,,,,
Canada,CAN,8.5,1,No,,12.7,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Cape Verde,CPV,2.6,1,No,,17.6,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Central African Rep.,CAF,1.4,1,No,,11.6,2,No,,10+,2015,IHME,,,,,,,,
Chad,TCD,1.9,1,No,,11.5,2,No,,10+,2015,IHME,,,,,,,,
Chile,CHL,24.2,3,Yes,,28.3,3,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
China,CHN,2,1,No,,44.8,5,Yes,,15+,2015,GTCR 2017,,,,,,,,
Colombia,COL,4.3,1,No,,11.1,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Comoros,COM,4.3,1,No,,19,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Congo,COG,1.1,1,No,,30.5,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
Cook Islands,COK,16.4,2,No,,,,,,15+,2011,GTCR 2017,,,,,,,,
Costa Rica,CRI,2.9,1,No,,8.7,1,No,,15+,2015,GTCR 2017,,,,,,,,
Côte d'Ivoire,CIV,1.4,1,No,,14.2,2,No,,10+,2015,IHME,,,,,,,,
Croatia,HRV,23.4,3,Yes,,31.8,4,Yes,,15+,2015,GTCR 2017,,,,,,,,
Cuba,CUB,13.3,2,No,,34.6,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
Cyprus,CYP,14.5,2,Yes,,37.5,4,Yes,,10+,2015,IHME,,,,,,,,
Czech Rep.,CZE,14.8,2,Yes,,21.8,3,Yes,,15+,2015,GTCR 2017,,,,,,,,
Dem. Rep. of Congo,COD,0.9,1,No,,14.1,2,No,,10+,2015,IHME,,,,,,,,
Denmark,DNK,17.3,2,Yes,,16,2,No,,15+,2015,GTCR 2017,,,,,,,,
Djibouti,DJI,2.8,1,No,,21.6,3,No,,10+,2015,IHME,,,,,,,,
Dominica,DMA,1.2,1,No,,6.5,1,No,,10+,2015,IHME,,,,,,,,
Dominican Rep.,DOM,7.2,1,No,,13.9,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
DPR Korea,PRK,0.9,1,No,,37.3,4,Yes,,10+,2015,IHME,,,,,,,,
Ecuador,ECU,1.8,1,No,,6.7,1,No,,15+,2015,WHO Trend 2015,,,,,,,,
Egypt,EGY,0.1,1,No,,44.5,5,No,,15—59,2015,GTCR 2017,,,,,,,,
El Salvador,SLV,3.3,1,No,,10,2,No,,10+,2015,IHME,,,,,,,,
Equatorial Guinea,GNQ,1.2,1,No,,8.6,1,No,,10+,2015,IHME,,,,,,,,
Eritrea,ERI,0.6,1,No,,10.2,2,No,,10+,2015,IHME,,,,,,,,
Estonia,EST,15.5,2,Yes,,31.4,4,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Ethiopia,ETH,0.2,1,No,,6.2,1,No,,15—69,2015,GTCR 2017,,,,,,,,
Fed. States of Micronesia,FSM,6.5,1,No,,20.8,3,No,,10+,2015,IHME,,,,,,,,
Fiji,FJI,7.8,1,No,,26.8,3,No,,15+,2015,WHO Trend 2015,,,,,,,,
Finland,FIN,14,2,Yes,,17.2,2,Yes,,15—64,2014,GTCR 2017,,,,,,,,
France,FRA,21.6,3,Yes,,32.3,4,Yes,,15+,2014,WHO Trend 2015,,,,,,,,
FYR Macedonia,MKD,20.8,3,No,,36.1,4,No,,15+,2014,IHME,,,,,,,,
Gabon,GAB,2.2,1,No,,14.7,2,No,,10+,2015,IHME,,,,,,,,
Gambia,GMB,0.8,1,No,,19.3,2,No,,10+,2015,IHME,,,,,,,,
Georgia,GEO,3.8,1,No,,38.9,4,Yes,,10+,2015,IHME,,,,,,,,
Germany,DEU,17.1,2,Yes,,25.1,3,Yes,,15+,2013,GTCR 2017,,,,,,,,
Ghana,GHA,0.3,1,No,,9.5,1,No,,15+,2015,WHO Trend 2015,,,,,,,,
Greece,GRC,21.6,3,Yes,,33.5,4,Yes,,15+,2014,GTCR 2017,,,,,,,,
Grenada,GRD,2.5,1,No,,10.5,2,No,,10+,2015,IHME,,,,,,,,
Guatemala,GTM,2.5,1,No,,13.4,2,No,,10+,2015,IHME,,,,,,,,
Guinea,GIN,1.4,1,No,,6.9,1,No,,10+,2015,IHME,,,,,,,,
Guinea-Bissau,GNB,1,1,No,,11.4,2,No,,10+,2015,IHME,,,,,,,,
Guyana,GUY,2,1,No,,15.8,2,No,,10+,2015,IHME,,,,,,,,
Haiti,HTI,1.8,1,No,,15.2,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Honduras,HND,1.2,1,No,,19.6,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Hungary,HUN,20.8,3,Yes,,31.5,4,Yes,,15+,2014,GTCR 2017,,,,,,,,
Iceland,ISL,14.4,2,No,,14.5,2,No,,10+,2015,IHME,,,,,,,,
India,IND,1.4,1,No,,17.3,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Indonesia,IDN,2.1,1,No,,66.6,6,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Iraq,IRQ,3,1,No,,23.8,3,No,,10+,2015,IHME,,,,,,,,
Ireland,IRL,17.3,2,Yes,,19.9,2,No,,15+,2015,GTCR 2017,,,,,,,,
Isl. Rep. of Iran,IRN,0.5,1,No,,18.7,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Israel,ISR,13,2,No,,23.4,3,No,,10+,2015,IHME,,,,,,,,
Italy,ITA,14.9,2,Yes,,22.8,3,Yes,,15+,2015,GTCR 2017,,,,,,,,
Jamaica,JAM,4.4,1,No,,21.6,3,No,,15+,2015,WHO Trend 2015,,,,,,,,
Japan,JPN,9.3,1,No,,26.6,3,No,,10+,2015,IHME,,,,,,,,
Jordan,JOR,6.8,1,No,,30.7,4,No,,10+,2015,IHME,,,,,,,,
Kazakhstan,KAZ,3.2,1,No,,36.9,4,No,,15+,2014,GTCR 2017,,,,,,,,
Kenya,KEN,1,1,No,,14.9,2,No,,10+,2015,IHME,,,,,,,,
Kiribati,KIR,24.7,3,No,,47.8,5,Yes,,10+,2015,IHME,,,,,,,,
Kuwait,KWT,5.2,1,No,,23.2,3,Yes,,10+,2015,IHME,,,,,,,,
Kyrgyzstan,KGZ,2.6,1,No,,39.4,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
LAO PDR,LAO,6.6,1,No,,46.9,5,Yes,,15+,2015,GTCR 2017,,,,,,,,
Latvia,LVA,21,3,Yes,,51.8,6,Yes,,15—64,2014,GTCR 2017,,,,,,,,
Lebanon,LBN,21.3,3,No,,37.4,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
Lesotho,LSO,0.3,1,No,,42.3,5,No,,15+,2015,WHO Trend 2015,,,,,,,,
Liberia,LBR,1.7,1,No,,21.4,3,No,,15+,2015,WHO Trend 2015,,,,,,,,
Libyan Arab Jamahiriya,LBY,0.4,1,No,,24.8,3,No,,10+,2015,IHME,,,,,,,,
Lithuania,LTU,12.8,2,Yes,,33.9,4,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Lux.,LUX,16.1,2,Yes,,19,2,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Madagascar,MDG,1.5,1,No,,19,2,No,,10+,2015,IHME,,,,,,,,
Malawi,MWI,3,1,No,,16.7,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Malaysia,MYS,1.1,1,No,,38.8,4,No,,15—75,2015,GTCR 2017,,,,,,,,
Maldives,MDV,6.8,1,No,,30.8,4,Yes,,10+,2015,IHME,,,,,,,,
Mali,MLI,2.3,1,No,,30.8,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
Malta,MLT,13.7,2,Yes,,23.5,3,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Marshall Islands,MHL,4.2,1,No,,22.8,3,No,,15—64,2002,GTCR 2017,,,,,,,,
Mauritania,MRT,2.9,1,No,,41.1,5,No,,15+,2015,WHO Trend 2015,,,,,,,,
Mauritius,MUS,1.5,1,No,,30.2,4,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Mexico,MEX,3.6,1,No,,11.9,2,No,,15+,2015,GTCR 2017,,,,,,,,
Monaco,MCO,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,4.1,1,No,,40.7,5,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Montenegro,MNE,26.4,3,No,,33,4,No,,10+,2015,IHME,,,,,,,,
Morocco,MAR,0.8,1,No,,38.3,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
Mozambique,MOZ,3.6,1,No,,21.7,3,No,,15+,2015,WHO Trend 2015,,,,,,,,
Myanmar,MMR,4.8,1,No,,24.8,3,No,,15+,2015,WHO Trend 2015,,,,,,,,
Namibia,NAM,7.8,1,No,,29.6,3,No,,15+,2015,WHO Trend 2015,,,,,,,,
Nauru,NRU,42.1,5,No,,35.6,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
Nepal,NPL,7.3,1,No,,25.5,3,No,,15+,2015,WHO Trend 2015,,,,,,,,
Netherlands,NLD,17,2,Yes,,17,2,Yes,,15+,2014,GTCR 2017,,,,,,,,
New Zealand,NZL,12.9,2,Yes,,15.6,2,No,,15+,2016,GTCR 2017,,,,,,,,
Nicaragua,NIC,5.4,1,No,,12.6,2,No,,10+,2015,IHME,,,,,,,,
Niger,NER,0.1,1,No,,13.4,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Nigeria,NGA,0.8,1,No,,13.7,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Niue,NIU,7.5,1,No,,14.7,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Norway,NOR,13,2,No,,13,2,No,,16—74,2015,GTCR 2017,,,,,,,,
Oman,OMN,0.7,1,No,,17.5,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Pakistan,PAK,2,1,No,,20.6,3,No,,15+,2014,GTCR 2017,,,,,,,,
Palau,PLW,5.8,1,No,,,,,,25—64,2013,GTCR 2017,,,,,,,,
Panama,PAN,1.2,1,No,,4.4,1,No,,15+,2013,GTCR 2017,,,,,,,,
Papua New Guinea,PNG,15,2,Yes,,37.6,4,Yes,,10+,2015,IHME,,,,,,,,
Paraguay,PRY,4.6,1,No,,17.2,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Peru,PER,4.2,1,No,,11.9,2,No,,10+,2015,IHME,,,,,,,,
Philippines,PHL,3.6,1,No,,33.9,4,Yes,,15+,2015,GTCR 2017,,,,,,,,
Poland,POL,18,2,Yes,,31,4,Yes,,15+,2015,GTCR 2017,,,,,,,,
Portugal,PRT,10.9,2,Yes,,23.5,3,No,,15+,2014,GTCR 2017,,,,,,,,
Qatar,QAT,0.1,1,No,,18.2,2,No,,15+,2015,GTCR 2017,,,,,,,,
Rep. Korea,KOR,8.8,1,No,,33.5,4,Yes,,10+,2015,IHME,,,,,,,,
Rep. Moldova,MDA,3.9,1,No,,38.3,4,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Romania,ROU,16.5,2,Yes,,31.5,4,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Russian Federation,RUS,15.3,2,Yes,,51.1,6,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Rwanda,RWA,3.8,1,No,,12.4,2,No,,10+,2015,IHME,,,,,,,,
S. Africa,ZAF,5.5,1,No,,26.5,3,No,,15+,2015,WHO Trend 2015,,,,,,,,
S. Sudan,SSD,1.7,1,No,,13.3,2,No,,10+,2015,IHME,,,,,,,,
Samoa,WSM,13.4,2,No,,31.8,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
San Marino,SMR,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,1,1,No,,6.2,1,No,,10+,2015,IHME,,,,,,,,
Saudi Arabia,SAU,1.7,1,No,,24.9,3,No,,15+,2015,WHO Trend 2015,,,,,,,,
Senegal,SEN,0.3,1,No,,9.7,1,No,,15+,2015,GTCR 2017,,,,,,,,
Serbia,SRB,28.1,3,No,,34.1,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
Seychelles,SYC,6.4,1,No,,33.9,4,No,,15+,2015,WHO Trend 2015,,,,,,,,
Sierra Leone,SLE,7.9,1,No,,44.1,5,No,,15+,2015,WHO Trend 2015,,,,,,,,
Singapore,SGP,6.3,1,No,,17.9,2,No,,10+,2015,IHME,,,,,,,,
Slovakia,SVK,11.9,2,Yes,,30.5,4,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Slovenia,SVN,13,2,Yes,,18,2,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Solomon Islands,SLB,9.7,1,No,,28.5,3,No,,10+,2015,IHME,,,,,,,,
Somalia,SOM,1.6,1,No,,13.1,2,No,,10+,2015,IHME,,,,,,,,
Spain,ESP,18.6,2,Yes,,27.6,3,Yes,,15+,2014,GTCR 2017,,,,,,,,
Sri Lanka,LKA,0.3,1,No,,22.4,3,No,,15+,2015,WHO Trend 2015,,,,,,,,
St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,1.8,1,No,,14.3,2,No,,10+,2015,IHME,,,,,,,,
St. Vincent and the Grenadines,VCT,1.8,1,No,,10.8,2,No,,10+,2015,IHME,,,,,,,,
Sudan,SDN,0.4,1,No,,1.3,1,No,,10+,2015,IHME,,,,,,,,
Suriname,SUR,7.5,1,No,,27.3,3,Yes,,10+,2015,IHME,,,,,,,,
Swaziland,SWZ,0.8,1,Yes,,9.5,1,No,,15—69,2014,GTCR 2017,,,,,,,,
Sweden,SWE,11,2,No,,9,1,No,,16—84,2015,GTCR 2017,,,,,,,,
Switz.,CHE,15.1,2,No,,19.6,2,No,,15+,2014,GTCR 2017,,,,,,,,
Syrian Arab Rep.,SYR,8.5,1,No,,21,3,No,,10+,2015,IHME,,,,,,,,
Tajikistan,TJK,0.4,1,No,,19.6,2,No,,10+,2015,IHME,,,,,,,,
Thailand,THA,1.8,1,No,,35.8,4,Yes,,15+,2014,GTCR 2017,,,,,,,,
Timor-Leste,TLS,12.4,2,No,,39.8,4,Yes,,10+,2015,IHME,,,,,,,,
Togo,TGO,1.1,1,No,,9.2,1,No,,10+,2015,IHME,,,,,,,,
Tonga,TON,10.5,2,No,,40.4,5,Yes,,15+,2015,WHO Trend 2015,,,,,,,,
Trinidad and Tobago,TTO,5.1,1,No,,22.3,3,No,,10+,2015,IHME,,,,,,,,
Tunisia,TUN,3,1,No,,36.1,4,No,,10+,2015,IHME,,,,,,,,
Turkey,TUR,16.3,2,Yes,,41.4,5,Yes,,15+,2016,GTCR 2017,,,,,,,,
Turkmenistan,TKM,0.9,1,No,,13.3,2,No,,10+,2015,IHME,,,,,,,,
Tuvalu,TUV,,,,,,,,,,,,,,,,,,,
UAE,ARE,1.8,1,No,,11.3,2,No,,10+,2015,IHME,,,,,,,,
Uganda,UGA,1.3,1,No,,9.8,1,No,,15+,2015,WHO Trend 2015,,,,,,,,
Ukraine,UKR,11.5,2,Yes,,40.6,5,Yes,,10+,2015,IHME,,,,,,,,
United Kingdom,GBR,18.1,2,Yes,,19.9,2,Yes,,10+,2015,IHME,,,,,,,,
United Republic of Tanzania,TZA,2.2,1,No,,19.8,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
United States of America,USA,11.7,2,No,,14.4,2,No,,10+,2015,IHME,,,,,,,,
Uruguay,URY,14.8,2,Yes,,22.8,3,No,,15+,2014,GTCR 2017,,,,,,,,
Uzbekistan,UZB,0.9,1,No,,19.1,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Vanuatu,VUT,2.8,1,No,,28.5,3,Yes,,10+,2015,IHME,,,,,,,,
Venezuela,VEN,9.9,1,No,,16.7,2,No,,10+,2015,IHME,,,,,,,,
Viet Nam,VNM,0.9,1,No,,38.7,4,No,,15+,2015,GTCR 2017,,,,,,,,
West Bank/Gaza Strip,PSE,,,,,,,,,,,,,,,,,,,
Yemen,YEM,6.3,1,No,,18.8,2,No,,10+,2015,IHME,,,,,,,,
Zambia,ZMB,2.5,1,No,,16,2,No,,15+,2015,WHO Trend 2015,,,,,,,,
Zimbabwe,ZWE,1.3,1,No,,20.5,3,No,,15+,2015,WHO Trend 2015,,,,,,,,
