Country,iso3code,Prevalence %,Key code,,Year,Age,Use,Survey title,Survey coverage
Dominica,DMA,30.4,5,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Dominican Rep.,DOM,24.3,4,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
DPR Korea,PRK,,,,,,,,
Ecuador,ECU,,,,,,,,
Egypt,EGY,18.1,3,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
El Salvador,SLV,15.3,3,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Equatorial Guinea,GNQ,25.1,4,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Eritrea,ERI,7.8,2,,2006,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Estonia,EST,13,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Ethiopia,ETH,11.5,2,,2003,15--19,Current tobacco use,Global Youth Tobacco Survey (Addis Ababa),Subnational
Fed. States of Micronesia,FSM,52.1,5,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Fiji,FJI,11.8,2,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Finland,FIN,2,1,,2015,14--14,Current tobacco smoking,Adolescent Health and Lifestyle Survey,National
France,FRA,18,3,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
FYR Macedonia,MKD,14.6,3,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Gabon,GAB,9.2,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Gambia,GMB,34,5,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Banjul),Subnational
Georgia,GEO,26,5,,2015,Grade 10 (age around 16),Current cigarette smoking,The European School Survey Project on Alcohol and Other Drugs,National
Germany,DEU,9.3,2,,2015,12--17,Current tobacco smoking,The drug affinity of young people in the Federal Republic of Germany,National
Ghana,GHA,9.2,2,,2012,13--15,Current cigarette smoking,Global School-Based Student Health Survey,National
Greece,GRC,16,3,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Grenada,GRD,12.5,2,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Guatemala,GTM,19.5,3,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Guinea,GIN,30.8,5,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Guinea-Bissau,GNB,11.5,2,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Bissau),Subnational
Guyana,GUY,19,3,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Haiti,HTI,20.3,4,,2005,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Honduras,HND,9.6,2,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Hungary,HUN,25,4,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Iceland,ISL,3,1,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
India,IND,19,3,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Indonesia,IDN,23,4,,2015,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Iraq,IRQ,19.4,3,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Ireland,IRL,8,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Isl. Rep. of Iran,IRN,7.5,2,,2012,6--18,Ever use of smoked tobacco*,CASPIAN study,National
Israel,ISR,17,3,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Italy,ITA,20.6,4,,2014,13--15,Current cigarette smoking,Global Youth Tobacco Survey,National
Jamaica,JAM,31.3,5,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Japan,JPN,1.3,1,,2014,Junior-High (school),Current cigarette smoking,National survey on underage smoking and drinking,National
Jordan,JOR,33.9,5,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Kazakhstan,KAZ,3.9,1,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Kenya,KEN,12.8,2,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Kiribati,KIR,37.7,5,,2011,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Kuwait,KWT,23.2,4,,2016,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Kyrgyzstan,KGZ,12.3,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
LAO PDR,LAO,16.4,3,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Latvia,LVA,25.3,4,,2014,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Lebanon,LBN,18.8,3,,2013,13--15,Current cigarette smoking,Global Youth Tobacco Survey,National
Lesotho,LSO,26.4,5,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Liberia,LBR,14.2,3,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Monrovia),Subnational
Libyan Arab Jamahiriya,LBY,11,2,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Lithuania,LTU,30.1,5,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Lux.,LUX,13,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Madagascar,MDG,33.2,5,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Malawi,MWI,16.7,3,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Malaysia,MYS,29.5,5,,2016,13--15,Current tobacco use,Tobacco and E-Cigarette Survey Among Malaysian Adolescents (TECMA),National
Maldives,MDV,15.8,3,,2014,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Mali,MLI,23.1,4,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Malta,MLT,11,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Marshall Islands,MHL,29.4,5,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Mauritania,MRT,22.1,4,,2010,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Mauritius,MUS,28.2,5,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Mexico,MEX,21.6,4,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Monaco,MCO,29,5,,2011,15--16,Current cigarette smoking,The European School Survey Project on Alcohol and Other Drugs,National
Mongolia,MNG,20.3,4,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Montenegro,MNE,15,3,,2014,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Morocco,MAR,7.3,2,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Mozambique,MOZ,15.1,3,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Myanmar,MMR,26.3,5,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Namibia,NAM,31.9,5,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Nauru,NRU,25.6,4,,2011,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Nepal,NPL,9.5,2,,2015,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Netherlands,NLD,11,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
New Zealand,NZL,4.4,1,,2015,14--15,Current tobacco smoking,ASH Year 10 Survey,National
Nicaragua,NIC,20.6,4,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Niger,NER,11.8,2,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Nigeria,NGA,19.2,3,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Abuja),Subnational
Niue,NIU,26.3,5,,2010,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Norway,NOR,5,1,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Oman,OMN,4.9,1,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Pakistan,PAK,13.3,2,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Palau,PLW,54.1,5,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Panama,PAN,15.1,3,,2012,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Papua New Guinea,PNG,55.4,5,,2007,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Paraguay,PRY,7.4,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Peru,PER,10.9,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Philippines,PHL,20.5,4,,2015,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Poland,POL,,,,,,,,
Portugal,PRT,15.7,3,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Qatar,QAT,22.8,4,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Rep. Korea,KOR,9.6,2,,2016,13--18,Current cigarette smoking,Korea Youth Risk Behavior Web-based Survey,National
Rep. Moldova,MDA,13,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Romania,ROU,20,4,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Russian Federation,RUS,17,3,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Rwanda,RWA,13.3,2,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey,National
S. Africa,ZAF,24.3,4,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
S. Sudan,SSD,,,,,,,,
Samoa,WSM,52.2,5,,2011,13--15,Current tobacco use,Global School-Based Student Health Survey,National
San Marino,SMR,14.5,3,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Sao Tome and Principe,STP,30.7,5,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Saudi Arabia,SAU,21.2,4,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Senegal,SEN,14.9,3,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Serbia,SRB,18.2,3,,2013,13--15,Current tobacco smoking,Global Youth Tobacco Survey,National
Seychelles,SYC,27.2,5,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Sierra Leone,SLE,20.3,4,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Western Area),Subnational
Singapore,SGP,8.8,2,,2012,13--16,Current tobacco smoking,Student Health Survey,National
Slovakia,SVK,,,,,,,,
Slovenia,SVN,14.7,3,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Solomon Islands,SLB,28.3,5,,2011,13--15,Current cigarette smoking,Global School-Based Student Health Survey,National
Somalia,SOM,15.5,3,,2007,13--15,Current tobacco use,Global Youth Tobacco Survey (Somaliland),Subnational
Spain,ESP,8,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Sri Lanka,LKA,6.7,1,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
St. Kitts and Nevis,KNA,10.4,2,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
St. Lucia,LCA,24.5,4,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
St. Vincent and the Grenadines,VCT,23.6,4,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Sudan,SDN,14.5,3,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Suriname,SUR,17.1,3,,2016,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Swaziland,SWZ,15.8,3,,2009,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Sweden,SWE,10,2,,2015,15--16,Current cigarette smoking,Alcohol and drug use among students (Skolelevers drogvanor),National
Switz.,CHE,11,2,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children,National
Syrian Arab Rep.,SYR,31.6,5,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Tajikistan,TJK,4.8,1,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Thailand,THA,21.8,4,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Timor-Leste,TLS,31.8,5,,2015,13--15,Current tobacco use,Global School-Based Student Health Survey,National
Togo,TGO,11.3,2,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Tonga,TON,44.9,5,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Trinidad and Tobago,TTO,20,4,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Tunisia,TUN,20.1,4,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Turkey,TUR,20.3,4,,2012,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Turkmenistan,TKM,0.2,1,,2015,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Tuvalu,TUV,32.4,5,,2013,13--15,Current tobacco smoking,Global School-Based Student Health Survey,National
UAE,ARE,16,3,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Uganda,UGA,19.3,3,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Ukraine,UKR,25.7,4,,2015,16--16,Current cigarette smoking,The European School Survey Project on Alcohol and Other Drugs,National
United Kingdom,GBR,6,1,,2014,15--15,Current tobacco smoking,Health Behaviour in School-aged Children (England),Subnational
United Republic of Tanzania,TZA,12.4,2,,2008,13--15,Current tobacco use,Global Youth Tobacco Survey (Arusha),Subnational
United States of America,USA,14.6,3,,2015,13--15,Current tobacco use,National Youth Tobacco Survey,National
Uruguay,URY,12.7,2,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Uzbekistan,UZB,14.2,3,,2013,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Vanuatu,VUT,19.4,3,,2011,13--15,Current cigarette smoking,Global School-Based Student Health Survey,National
Venezuela,VEN,11,2,,2010,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Viet Nam,VNM,6.9,1,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
West Bank/Gaza Strip,PSE,23.6,4,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey (Gaza Strip),Subnational
Yemen,YEM,23.9,4,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Zambia,ZMB,24.9,4,,2011,13--15,Current tobacco use,Global Youth Tobacco Survey,National
Zimbabwe,ZWE,22,4,,2014,13--15,Current tobacco use,Global Youth Tobacco Survey,National
